Código de la Institución;IES PADRE;Institución de Educación Superior (IES);Principal oSeccional;Id_Sector;Id_Caracter;Código del departamento(IES);Departamento de domicilio de la IES;Código del Municipio(IES);Municipio dedomicilio de la IES;Código SNIES delprograma;Programa Académico;Id_Nivel;Id_Nivel_Formacion;Id_Metodologia;Id_Area;Id_Nucleo;Núcleo Básico del Conocimiento (NBC);Código del Departamento(Programa);Departamento de oferta del programa;Código del Municipio(Programa);Municipio de oferta del programa;Id Género;Año;Semestre;Total Matriculados
1202;1202;UNIVERSIDAD DEL ATLANTICO;PRINCIPAL;1;4;8;ATLANTICO;8001;BARRANQUILLA;522;ARTES PLASTICAS;1;6;1;2;24;ATES PLASTICAS VISUALES Y AFINES;8;ATLANTICO;8001;BARRANQUILLA;2;2015;1;74
1202;1202;UNIVERSIDAD DEL ATLANTICO;PRINCIPAL;1;4;8;ATLANTICO;8001;BARRANQUILLA;522;ARTES PLASTICAS;1;6;1;2;24;ATES PLASTICAS VISUALES Y AFINES;8;ATLANTICO;8001;BARRANQUILLA;1;2015;1;109
1202;1202;UNIVERSIDAD DEL ATLANTICO;PRINCIPAL;1;4;8;ATLANTICO;8001;BARRANQUILLA;523;LICENCIATURA EN MUSICA;1;6;1;3;313;EDUCACION;8;ATLANTICO;8001;BARRANQUILLA;2;2015;1;56
1202;1202;UNIVERSIDAD DEL ATLANTICO;PRINCIPAL;1;4;8;ATLANTICO;8001;BARRANQUILLA;523;LICENCIATURA EN MUSICA;1;6;1;3;313;EDUCACION;8;ATLANTICO;8001;BARRANQUILLA;1;2015;1;264
1202;1202;UNIVERSIDAD DEL ATLANTICO;PRINCIPAL;1;4;8;ATLANTICO;8001;BARRANQUILLA;530;NUTRICION Y DIETETICA;1;6;1;4;446;NUTRICION Y DIETETICA;8;ATLANTICO;8001;BARRANQUILLA;2;2015;1;482
1202;1202;UNIVERSIDAD DEL ATLANTICO;PRINCIPAL;1;4;8;ATLANTICO;8001;BARRANQUILLA;530;NUTRICION Y DIETETICA;1;6;1;4;446;NUTRICION Y DIETETICA;8;ATLANTICO;8001;BARRANQUILLA;1;2015;1;62
1202;1202;UNIVERSIDAD DEL ATLANTICO;PRINCIPAL;1;4;8;ATLANTICO;8001;BARRANQUILLA;531;DERECHO;1;6;1;5;559;DERECHO Y AFINES;8;ATLANTICO;8001;BARRANQUILLA;2;2015;1;1058
1202;1202;UNIVERSIDAD DEL ATLANTICO;PRINCIPAL;1;4;8;ATLANTICO;8001;BARRANQUILLA;531;DERECHO;1;6;1;5;559;DERECHO Y AFINES;8;ATLANTICO;8001;BARRANQUILLA;1;2015;1;1125
1202;1202;UNIVERSIDAD DEL ATLANTICO;PRINCIPAL;1;4;8;ATLANTICO;8001;BARRANQUILLA;532;ECONOMIA;1;6;1;6;611;ECONOMIA;8;ATLANTICO;8001;BARRANQUILLA;2;2015;1;312
1202;1202;UNIVERSIDAD DEL ATLANTICO;PRINCIPAL;1;4;8;ATLANTICO;8001;BARRANQUILLA;532;ECONOMIA;1;6;1;6;611;ECONOMIA;8;ATLANTICO;8001;BARRANQUILLA;1;2015;1;312
